#,Stream date,Video link,Stream title,Session,Trade # that day,Direction,Her stop (pts),Her result (R),Outcome,R exact or estimated?,Script gave a plan?,Script result (R),Same trade as hers?,What she said / notes
1,23-Jul-2026,https://www.youtube.com/watch?v=Y3tk4NIIpt0,Day Off,London,,,,,No trade,,No (0 plans),,n/a - she sat out,"No trade (""Day Off""): no setup, choppy after big Asia range"
2,27-Jul-2026,https://www.youtube.com/watch?v=rJYZz8hjmGE,WE NAILED IT AGAIN,London,1,Long,10,-1.00,Loss,From stream,No,,no,Stopped out (~$400 loss); TP planned ~33 pts
3,27-Jul-2026,https://www.youtube.com/watch?v=rJYZz8hjmGE,WE NAILED IT AGAIN,London,2,Long,15,0.00,Breakeven,From stream,No,,no,"Moved to breakeven, stopped at BE; price later went to her target"
4,27-Jul-2026,https://www.youtube.com/watch?v=rJYZz8hjmGE,WE NAILED IT AGAIN,London,3,Long,25 (trailed to ~10-15),+1.90,Win,Estimated,No,,no,"Closed ~4:30 ET as W; day net ~+$1,500/acct after -$400 loss (R estimated)"
5,26-Aug-2026,https://www.youtube.com/watch?v=PwHz0s8SqqQ,1L 1W $8.4K (same day as her Chart Fanatics trade),London,1,Long,17,-1.00,Loss,From stream,Yes,"plan, no fill",yes (only same-dir plan),Stopped out; entered before the sweep she wanted
6,26-Aug-2026,https://www.youtube.com/watch?v=PwHz0s8SqqQ,1L 1W $8.4K (same day as her Chart Fanatics trade),London,2,Long,15 (then ~12),+2.00,Win,From stream,Yes,"plan, no fill",yes (only same-dir plan),"Partial at halfway, BE, exit 1:2.6; she said average ~1:2. Bullish SMT with ES. Day ~+$600/acct x14 = +$8.4K"
7,28-Jul-2026,https://www.youtube.com/watch?v=y5Frlqa1jbA,I'm the LIQUIDITY,London,1,Long,,-1.00,Loss,Estimated,Yes,"plan, no fill",yes (only same-dir plan),"Stopped out; aimed 1:2 (her words ""still too aggressive"")"
8,28-Jul-2026,https://www.youtube.com/watch?v=y5Frlqa1jbA,I'm the LIQUIDITY,London,2,Long,,-1.00,Loss,Estimated,Yes,"plan, no fill",yes (only same-dir plan),"Stopped out; ""completely wrong bias"""
9,28-Jul-2026,https://www.youtube.com/watch?v=y5Frlqa1jbA,I'm the LIQUIDITY,London,3,Long,,-1.00,Loss,Estimated,Yes,"plan, no fill",yes (only same-dir plan),"Stopped out, then price went her way. Losing day (""we got an L""). Admitted first trade was overtrading after a huge range"
10,30-Jul-2026,https://www.youtube.com/watch?v=JiIjf0AjNJA,Mental Take Partial,London,1,Short,~10,0.00,Breakeven,From stream,No,,no,"Entered late (counter to her bias worry), moved stop to BE, stopped at BE (+$18/acct). Price later hit her final TP without her"
11,31-Jul-2026,https://www.youtube.com/watch?v=chjDXxUw4Cg,W! Happy Friday,London,1,Short,,,Win,Estimated,Yes,"plan, no fill",direction yes (time unknown),"Market entry at rejection of suspension block/BC after buy-side sweep; went straight to final TP (relative low). ""100% win rate today"""
12,03-Aug-2026,https://www.youtube.com/watch?v=SuwIT6OT-G0,Married the bias,London,1,Long,~18-20,-1.00,Loss,From stream,No,,no,Closed manually ~18-20 pts against her when the breaker failed
13,03-Aug-2026,https://www.youtube.com/watch?v=SuwIT6OT-G0,Married the bias,London,2,Long,,-1.00,Loss,Estimated,No,,no,"""I take a long, I make a losing trade"""
14,03-Aug-2026,https://www.youtube.com/watch?v=SuwIT6OT-G0,Married the bias,London,3,Long,25-30,-1.00,Loss,From stream,No,,no,"Stopped; said she should have waited for Asia low sweep. ""Married the bias"" - 3 losses, stopped for day"
15,04-Aug-2026,https://www.youtube.com/watch?v=V8EENGyQXEM,Straight to TP,London,1,Short,"15 (bracket 25, moved)",+2.70,Win,From stream,Yes,+0.53,direction yes (time unknown),"TP ~40-42 pts hit straight (""Straight to TP""). Entered aggressively before the gap inverted"
16,12-Aug-2026,https://www.youtube.com/watch?v=6g6qhcoJ-8Q,L on Pre-CPI,London,1,Short,11-12,-1.00,Loss,From stream,Yes,-1.04,direction yes (time unknown),"Pre-CPI low-probability short, target midnight open; stopped out"
17,12-Aug-2026,https://www.youtube.com/watch?v=6g6qhcoJ-8Q,L on Pre-CPI,London,2,Short,13,-1.00,Loss,From stream,Yes,-1.04,yes,"Low-probability setup, tight stop; stopped ~4:00 ET. Day about -$1,000/acct (""L on Pre-CPI"")"
18,11-Aug-2026,https://www.youtube.com/watch?v=rufUWkOULdM,W as usual,London,1,Long,25 then 20,-1.00,Loss,From stream,Yes,+0.50,direction yes (time unknown),Stop under 30-sec order block; stopped out
19,11-Aug-2026,https://www.youtube.com/watch?v=rufUWkOULdM,W as usual,London,2,Long,~13,+2.00,Win,Estimated,Yes,+0.67,yes,"Entered 3:26 ET, target relative equal highs (planned 1:3, 40 pts). Partial taken, rest to BE then TP. Title ""W as usual"""
20,13-Aug-2026,https://www.youtube.com/watch?v=7N7X7tn0gh8,Typical Boring August Market,London,,,,,No trade,,Yes (1 plans),,n/a - she sat out,"No trade: ""not my model"", low probability, skipped the day"
21,14-Aug-2026,https://www.youtube.com/watch?v=xVbuInGShtg,Straight to TP! without me,London,1,Long,13-14,-1.00,Loss,From stream,No,,no,"Target only ~20 pts (1:1.5). Stopped by a wick, then price went straight to her target without her"
22,18-Aug-2026,https://www.youtube.com/watch?v=i8enDrSjX7U,W Short on NQ,London,1,Short,~20,+2.00,Win,Estimated,No,,no,"After equal-low build-up; trailed stop to midnight open then BE; moved TP closer; ~40 pts profit. ""W Short on NQ"""
23,20-Aug-2026,https://www.youtube.com/watch?v=3iSFUQpnRDU,Missed Everything!!,London,,,,,No trade,,Yes (1 plans),,n/a - she sat out,"No trade (""Missed Everything""): R:R only ~1:1 on available entries, waited for 4 AM, nothing"
